,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
138,Torbay,75,CA,1560443367,58,47.66,-52.73,57.99,23.04
139,San Vicente,40,SV,1560443370,62,13.64,-88.78,87.8,8.05
140,Erzin,40,TR,1560443371,54,36.95,36.2,81.0,18.34
141,Ahipara,76,NZ,1560443372,77,-35.17,173.16,61.98,24.72
142,Tabuk,100,PH,1560443373,96,17.41,121.44,66.48,2.77
143,Saskylakh,0,RU,1560443375,48,71.97,114.09,48.66,8.25
144,Souillac,20,FR,1560443376,46,45.6,-0.6,73.0,2.24
145,Saint-Pierre,41,FR,1560443377,59,48.95,4.24,71.01,8.05
146,Paita,0,PE,1560443379,290,-5.09,-81.11,62.6,18.34
147,Terrace,75,CA,1560443230,87,54.52,-128.61,61.0,6.93
148,Ixtapa,75,MX,1560442833,83,20.71,-105.21,84.0,4.92
149,Faya,40,SA,1560443382,64,18.39,42.45,80.6,12.75
150,Marawi,100,PH,1560443383,93,8.0,124.29,77.0,4.0
151,Upington,0,ZA,1560443384,19,-28.46,21.24,59.0,3.36
152,Nikolskoye,0,RU,1560443386,45,59.7,30.79,66.2,13.42
153,Tomaszow Mazowiecki,40,PL,1560443225,78,51.53,20.01,84.99,3.36
154,Coldwater,90,US,1560443388,100,41.94,-85.0,59.0,6.93
155,Vilhena,20,BR,1560443389,61,-12.74,-60.15,82.4,11.41
156,Lazurne,94,UA,1560443390,37,46.77,34.99,88.44,9.22
157,Saratovskaya,20,RU,1560443392,57,44.71,39.22,77.0,4.47
158,Pangnirtung,75,CA,1560442824,70,66.15,-65.72,46.4,11.41
159,Watsa,43,CD,1560443394,52,3.04,29.53,83.94,2.89
160,Balaghat,47,IN,1560443395,32,21.81,80.19,98.88,6.91
161,Mandalgovi,97,MN,1560443396,23,45.76,106.27,68.46,5.79
162,Toppenish,1,US,1560443397,50,46.38,-120.31,82.0,6.11
163,Samarai,40,PG,1560442836,93,-10.62,150.67,71.34,3.33
164,Praia da Vitoria,75,PT,1560443400,77,38.73,-27.07,69.01,10.33
165,Longyearbyen,75,NO,1560443401,86,78.22,15.63,39.2,11.41
166,Naze,38,NG,1560443402,88,5.43,7.07,77.12,4.43
167,Garmsar,0,IR,1560443403,19,35.22,52.34,80.36,1.7
168,Belmonte,91,PT,1560443405,49,40.36,-7.35,69.01,8.41
169,Gushikawa,75,JP,1560443406,83,26.35,127.87,77.0,14.99
170,Ardakan,20,IR,1560443407,9,32.31,54.02,96.8,2.24
171,San Martin,90,US,1560443405,82,37.08,-121.61,69.01,5.82
172,Isangel,75,VU,1560443410,77,-19.55,169.27,66.2,17.6
173,Dunedin,97,NZ,1560443270,85,-45.87,170.5,48.99,18.99
174,Poronaysk,100,RU,1560443412,97,49.22,143.1,42.02,9.31
175,Constitucion,5,MX,1560443413,35,23.99,-104.67,73.0,19.24
176,Radenci,0,SI,1560443415,33,46.64,16.04,91.99,12.75
177,Kirensk,57,RU,1560443416,64,57.78,108.12,57.32,2.89
178,Murray Bridge,100,AU,1560443417,89,-35.12,139.28,55.0,3.0
179,Sungaipenuh,97,ID,1560443418,64,-2.08,101.38,75.14,3.91
180,Caravelas,47,BR,1560443420,78,-17.73,-39.27,78.56,6.33
181,Saint George,20,GR,1560443421,27,39.45,22.34,91.4,16.11
182,Mar del Plata,100,AR,1560443422,80,-46.43,-67.52,40.04,17.07
183,Foumbot,80,CM,1560443423,90,5.51,10.64,67.04,1.03
184,Yangjiang,100,CN,1560443424,74,21.85,111.96,84.0,3.38
185,Okhotsk,0,RU,1560442881,92,59.36,143.24,35.88,1.9
186,Clyde River,20,CA,1560443427,86,70.47,-68.59,39.2,19.46
187,Bara,39,NG,1560443428,40,10.41,10.6,89.72,3.65
188,Khatanga,40,RU,1560443429,40,71.98,102.47,57.5,20.62
189,Puerto Baquerizo Moreno,20,EC,1560443430,69,-0.9,-89.6,80.6,13.87
190,Yining,0,CN,1560443432,89,29.04,114.56,65.6,1.81
191,Shalinskoye,61,RU,1560443433,71,55.72,93.76,61.28,5.64
192,El Viejo,20,NI,1560443434,66,12.66,-87.17,87.8,5.01
193,Sugod,99,PH,1560443435,88,12.99,124.08,80.18,3.85
194,Yerbogachen,80,RU,1560443436,96,61.28,108.01,55.34,7.9
195,Sao Felix do Xingu,99,BR,1560443438,53,-6.64,-51.99,87.02,6.42
196,Manoel Urbano,1,BR,1560443439,43,-8.84,-69.26,94.94,1.54
197,Mazamari,0,PE,1560443273,46,-11.33,-74.53,40.02,7.43
198,Sitka,98,US,1560443441,46,37.17,-99.65,74.6,20.24
199,Valera,100,VE,1560443442,67,9.31,-70.61,88.82,10.25
200,Esperance,40,TT,1560443444,52,10.24,-61.45,91.4,13.87
201,Donskoye,75,RU,1560443445,72,45.45,41.98,68.0,8.95
202,Shakawe,0,BW,1560443446,28,-18.36,21.84,61.1,5.06
203,Okakarara,0,NA,1560443447,22,-20.59,17.46,54.8,8.81
204,Yar-Sale,98,RU,1560443448,77,66.83,70.83,35.72,16.8
205,Cherskiy,97,RU,1560443450,49,68.75,161.3,63.08,13.11
206,Srednekolymsk,61,RU,1560442858,42,67.46,153.71,64.86,7.4
207,Yokadouma,100,CM,1560443452,96,3.52,15.05,72.08,2.66
208,Syamzha,88,RU,1560443453,59,60.02,41.06,52.64,3.76
